,CTL,FTR,LVLT,T,VZ
387,24.940001,19.64999,59.950001,38.68,46.709999
388,25.959999,19.79999,62.0,39.0,46.630001
389,25.84,19.49999,61.91,38.810001,46.169998
390,25.67,19.04999,61.639999,38.779999,46.369999
391,25.870001,19.04999,62.169998,38.849998,46.52
392,25.790001,18.599991,62.009998,38.759998,46.5
393,25.950001,18.299992,62.380001,38.630001,46.169998
394,26.07,18.599991,62.380001,38.790001,46.720001
395,26.700001,18.89999,63.099998,39.009998,47.299999
396,27.129999,20.099991,64.209999,38.790001,46.630001
397,27.23,19.04999,64.16999799999999,38.669998,46.580002
398,27.09,20.099991,64.029999,38.970001,46.860001
399,25.75,20.099991,62.040001,38.98,46.630001
400,25.219999,19.64999,61.259998,38.77,46.400002
401,24.82,18.449991,60.810001,38.619999,45.950001
402,24.469999,16.949991,60.009998,38.189999,45.470001
403,24.459999,16.949991,59.98,38.16,45.43
404,24.469999,18.449991,59.939999,37.939999,45.450001
405,24.459999,17.399992,60.0,38.150002,44.970001
406,24.65,17.699991,60.299999,37.880001,44.98
407,24.84,17.399992,60.860001,37.869999,44.799999
408,24.27,18.299992,59.77,37.73,44.619999
409,24.0,17.399992,59.57,37.84,44.610001
410,23.969999,17.699991,59.52,38.110001,45.049999
411,23.690001,17.24999,58.82,37.59,43.970001
412,23.85,16.349992999999998,59.369999,37.18,43.529999
413,23.66,15.13,58.84,36.959999,43.48
414,23.5,14.68,58.860001,36.830002,43.209999
415,23.379999,13.78,58.799999,36.75,43.040001
416,22.48,13.3,57.459999,36.540001,43.150002
417,22.77,14.04,57.75,36.23,43.630001
418,22.99,14.72,58.0,36.32,43.630001
419,22.860001,14.25,57.98,36.43,43.66
420,22.43,13.91,57.32,36.029999,43.349998
421,22.77,14.3,57.75,36.330002,43.5
422,23.209999,14.94,58.389999,36.419998,44.23
423,23.360001,14.85,58.599998,36.509998,44.150002
424,22.85,14.49,58.009998,36.290001,43.900002
425,23.09,14.97,58.400002,36.220001,44.799999
426,22.950001,15.05,58.150002,38.200001,46.259998
427,23.52,15.59,59.060001,39.25,47.700001
428,23.280001,15.63,58.59,38.970001,47.849998
429,23.34,15.34,58.98,39.25,48.68
430,23.370001,16.1,58.830002,38.98,48.900002
431,23.360001,16.58,59.18,38.23,48.09
432,22.49,14.56,57.48,38.439999,48.549999
433,22.4,15.74,57.169998,38.439999,48.790001
434,22.25,15.75,57.099998,38.560001,48.75
435,21.780001,15.0,56.400002,38.200001,48.52
436,21.799999,14.94,56.34,38.27,48.18
437,21.6,15.11,56.130001,38.299999,48.200001
438,21.84,14.92,56.57,38.240002,48.169998
439,21.889999,15.26,56.529999,38.5,48.560001
440,20.51,14.31,54.669998,38.16,48.369999
441,20.889999,14.24,55.080002,38.16,48.369999
442,19.4,13.76,52.91,37.5,47.849998
443,19.16,13.47,52.790001,37.490002,47.830002
444,19.219999,12.72,52.860001,37.689999,48.130001
445,19.76,11.99,53.5,37.849998,48.259998
446,20.5,12.27,54.450001,37.959999,48.349998
447,20.17,12.67,54.349998,37.82,48.48
448,20.25,12.74,54.330002,38.0,48.650002
449,20.610001,13.05,54.700001,37.75,48.360001
450,20.57,13.55,54.91,37.82,48.330002
451,19.940001,13.36,54.599998,37.740002,48.259998
452,19.84,13.49,54.650002,37.59,48.02
453,20.08,13.8,54.950001,37.400002,47.779999
454,19.57,13.86,54.240002,37.130001,47.470001
455,19.07,13.99,53.57,36.599998,47.0
456,18.65,13.43,52.91,35.599998,46.18
457,18.6,13.29,53.0,35.68,46.23
458,18.42,13.41,52.669998,35.959999,46.5
459,19.110001,13.76,53.610001,36.34,46.779999
460,18.709999,13.01,53.080002,36.599998,47.240002
461,18.92,13.04,53.189999,36.41,47.419998
462,19.02,13.04,53.330002,37.110001,47.91
463,18.35,12.58,52.450001,37.41,48.09
