,AAL,ALK,ALLE,AME,ARNC,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DNB,DOV,EFX,EMR,ETN,EXPD,FAST,FBHS,FDX,FLR,FLS,FTV,GD,GE,GWW,HON,IR,ITW,JBHT,JCI,JEC,KSU,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PCAR,PH,PNR,PWR,R,RHI,ROK,ROP,RSG,RTN,SRCL,TDG,TXT,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
61,38.130001,68.900002,58.380001,46.32,17.541216,182.220001,109.730003,64.160004,70.160004,98.459999,81.989998,24.780001,84.139999,43.490002,78.989998,96.169998,59.84,98.970001,46.720001,54.18,46.16,43.759998,47.619999,130.440002,44.279999,41.380001,,131.479996,28.58,212.199997,103.91613,51.990002,93.010002,75.040001,35.602093,36.790001,80.300003,117.040001,207.520004,36.599998,26.309999,155.0,48.07,182.399994,72.949997,50.549999,98.970001,44.900002,17.879998999999994,54.619999,37.860001,97.620003,165.059998,44.759998,121.339996,109.440002,197.039993,32.560001,48.720001,78.0,97.910004,46.310001,87.339996,68.410004,54.720001,37.380001
62,38.950001,69.900002,58.900002,46.16,18.508232,187.149994,114.029999,66.0,71.239998,99.099998,83.220001,24.370001,80.300003,44.98,80.470001,94.75,60.919998,100.089996,47.049999,55.41,46.84,43.869999,47.98,133.559998,45.73,42.200001,,132.240005,29.139999,216.25,104.831253,52.349998,94.0,75.870003,35.81152,37.689999,81.16999799999998,117.25,210.0,37.470001,26.610001,156.0,48.220001,185.610001,74.349998,51.720001,100.389999,46.59,18.200001,57.09,38.16,101.050003,168.179993,45.509998,121.5,109.919998,207.889999,33.25,49.419998,78.720001,98.809998,48.02,86.709999,68.709999,54.869999,37.330002
63,39.360001,72.0,59.09,46.02,19.205383,195.770004,116.910004,67.150002,70.690002,97.879997,84.25,24.82,83.860001,46.400002,81.410004,94.919998,61.529999,102.220001,48.029999,56.16,46.849998,44.419998,49.220001,132.860001,46.759998,43.220001,,134.619995,29.299999,217.740005,105.368385,52.630001,95.099998,77.089996,36.60733,38.669998,82.33000200000002,117.540001,212.25,38.650002,27.27,156.350006,48.5,190.699997,75.66999799999998,51.900002,101.120003,47.380001,19.200001,57.900002,38.130001,102.5,169.600006,45.290001,119.830002,110.830002,209.279999,33.18,51.07,79.760002,97.82,48.779999,88.550003,68.639999,54.799999,37.740002
64,39.16,71.470001,58.5,45.810001,18.058456,192.970001,117.309998,64.91999799999999,70.690002,96.470001,85.220001,24.639999,82.610001,46.459999,76.650002,92.889999,61.470001,100.440002,48.189999,55.860001,46.66,44.18,49.259998,130.300003,42.639999,42.240002,,134.889999,28.940001,215.059998,105.577271,52.07,95.139999,76.83000200000002,36.062828,37.43,80.190002,117.360001,214.50999500000003,38.91,26.950001,157.0,47.529999,192.160004,74.5,51.07,100.18,47.869999,18.440001,57.529999,38.349998,101.260002,170.660004,45.650002,121.529999,111.300003,208.0,33.610001000000004,51.790001,78.519997,97.220001,49.220001,88.349998,68.269997,55.25,37.290001
65,40.139999,73.099998,58.759998,46.41,18.080946,193.100006,115.160004,65.41999799999999,71.41999799999998,97.949997,87.0,25.440001,84.089996,46.720001,77.300003,93.519997,61.48,101.830002,48.060001,56.009998,47.0,45.049999,49.990002,129.759995,46.099998,41.68,,135.259995,29.02,218.570007,107.42741399999998,52.02,96.25,77.790001,35.204189,38.459999,83.5,117.830002,213.619995,39.560001,27.860001,156.449997,48.630001,190.779999,75.0,51.549999,101.300003,48.799999,18.870001,56.880001,38.759998,102.900002,171.360001,45.860001,124.050003,110.650002,210.559998,33.700001,54.130001,79.900002,97.370003,49.68,89.190002,68.489998,55.759998,37.459999
66,40.560001,72.099998,60.799999,46.09,19.677647,196.470001,116.970001,67.110001,69.370003,98.480003,87.529999,24.860001,84.559998,48.470001,78.230003,93.860001,61.349998,103.260002,49.209999,57.400002,43.939999,44.950001,50.209999,134.419998,46.560001,43.02,,135.940002,29.209999,220.699997,103.756973,53.650002,96.190002,77.269997,35.602093,38.43,81.739998,118.220001,214.830002,40.700001,27.77,157.630005,49.240002,192.029999,76.120003,51.869999,102.25,48.849998,19.0,57.869999,38.93,104.360001,172.399994,46.029999,124.480003,110.809998,209.220001,33.869999,55.09,80.5,97.110001,51.07,92.230003,68.07,56.18,37.509998
67,40.02,72.32,60.450001,44.939999,18.575699,194.199997,115.370003,64.699997,69.199997,96.080002,88.489998,24.01,83.33000200000002,48.450001,76.690002,92.550003,59.34,102.449997,47.799999,55.810001,44.700001,44.16,50.400002,132.520004,45.119999,41.5,,135.0,28.9,214.5,101.787476,52.709999,93.620003,75.699997,35.13089,37.68,80.33000200000002,117.190002,213.580002,40.560001,28.07,154.839996,48.380001,190.759995,72.529999,50.869999,99.349998,47.23,18.5,55.599998,38.619999,101.389999,170.009995,45.630001,124.809998,111.220001,209.300003,33.360001000000004,54.82,78.019997,96.190002,49.139999,91.110001,67.099998,56.040001,37.0
68,40.759998,73.68,62.720001,45.59,19.767601000000006,199.009995,116.349998,65.889999,70.260002,96.489998,88.790001,24.42,84.559998,49.080002,79.209999,94.029999,59.77,103.800003,48.380001,56.75,45.759998,44.66,51.310001,134.410004,45.880001,42.119999,,135.520004,28.799999,217.52999900000003,103.070633,55.560001,94.639999,75.980003,36.178009,38.689999,81.410004,117.68,217.0,41.599998,28.700001,157.53999299999995,49.450001,190.050003,74.230003,51.529999,101.690002,47.860001,19.4,56.59,39.380001,102.449997,171.220001,46.119999,123.839996,113.610001,215.110001,34.029999,56.439999,79.5,97.160004,49.52,93.910004,72.360001,56.25,37.57
69,41.5,75.0,64.0,46.610001,20.509729,205.960007,117.75,67.389999,70.360001,98.669998,88.93,24.5,85.0,49.349998,79.870003,95.660004,61.259998,106.730003,48.98,57.540001,46.0,45.240002,51.150002,136.660004,46.560001,42.189999,,137.610001,29.299999,218.979996,103.538139,56.75,95.5,77.5,36.649216,38.860001,83.599998,118.959999,219.220001,42.75,29.030001,159.149994,49.689999,193.0,73.949997,52.32,102.370003,48.220001,20.0,56.639999,39.619999,104.790001,171.940002,46.5,125.080002,114.769997,215.050003,34.689999,56.889999,80.089996,97.970001,51.0,100.209999,74.120003,56.48,37.73
70,40.77,74.089996,63.919998,46.860001,20.12742,208.960007,118.120003,67.139999,70.110001,97.800003,88.269997,24.26,84.839996,47.75,79.589996,95.980003,61.27,106.029999,49.400002,57.43,46.080002,45.25,51.209999,137.279999,46.740002,42.240002,,136.899994,29.440001,218.070007,102.046097,56.59,95.129997,78.059998,37.005234,38.84,83.720001,118.839996,216.669998,41.93,28.809999,158.009995,49.52,191.990005,74.690002,51.919998,102.459999,48.73,20.190001,57.75,39.509998,104.870003,170.020004,46.169998,124.269997,115.360001,216.75,34.650002,56.380001,79.809998,97.440002,51.580002,97.43,74.019997,56.110001,37.77
