,APA,APC,CHK,COG,COP,CVX,CXO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,MUR,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RIG,RRC,SLB,SWN,VLO,WMB,XEC,XOM
87,49.279999,47.470001,4.82,21.629999,41.290001,94.720001,101.849998,27.59,75.449997,63.549999,27.190001,35.380001,53.080002,59.59,18.469999,38.41,11.31,25.629999,33.330002,32.82,31.889999,29.790001,68.889999,89.940002,139.740005,9.92,32.18,73.040001,8.08,66.089996,17.74,96.190002,83.860001
88,47.009998,44.880001,3.86,21.02,38.93,92.540001,99.110001,24.879999,72.41999799999998,61.82,26.35,34.310001,50.18,56.580002,17.360001,36.939999,9.77,23.299999,31.870001,31.33,30.620001,27.91,67.269997,86.970001,133.5,9.02,30.0,71.910004,7.12,64.540001,15.79,92.309998,82.940002
89,48.98,46.610001,4.24,22.0,40.099998,94.900002,103.800003,26.540001,74.300003,64.480003,26.98,35.32,52.490002,58.470001,18.110001,37.02,10.33,24.32,31.540001,32.5,31.34,28.4,68.660004,87.870003,139.630005,9.43,30.85,72.889999,7.4,65.800003,15.77,95.660004,84.029999
90,47.48,44.669998,3.99,21.67,39.02,93.790001,100.080002,25.280001,73.16999799999998,64.360001,26.42,34.490002000000004,49.650002,57.139999,17.530001000000002,36.490002,9.92,23.41,29.110001,31.459999,31.07,27.76,66.949997,86.800003,136.389999,8.82,31.030001,71.58000200000002,7.26,65.110001,14.91,93.330002,83.66999799999998
91,49.25,46.970001,4.18,22.879999,40.48,96.349998,104.940002,26.57,76.440002,67.16999799999999,27.190001,35.549999,51.599998,59.150002,17.940001000000006,37.110001,10.73,25.25,30.57,32.68,31.690001,28.85,68.910004,88.190002,141.130005,8.66,33.59,73.66999799999998,8.04,64.739998,15.9,98.739998,85.029999
92,48.349998,46.130001,3.97,22.74,39.959999,95.190002,101.720001,26.02,73.480003,66.32,26.969999,35.84,50.73,58.060001,17.75,36.48,10.52,24.4,30.709999,32.5,31.07,29.01,68.239998,87.269997,139.520004,8.85,32.439999,74.290001,7.76,64.0,15.69,96.110001,84.07
93,47.459999,45.07,3.98,22.26,39.389999,93.690002,98.650002,26.389999,70.849998,66.059998,26.77,35.07,51.41,57.02,17.41,36.279999,10.75,24.52,30.559999,32.470001,30.360001,29.08,67.230003,85.599998,137.190002,8.88,31.67,72.370003,7.9,63.59,15.7,94.830002,82.400002
94,47.540001,45.919998,3.86,22.610001,39.790001,94.440002,101.730003,26.719999,72.480003,67.110001,27.08,34.849998,52.540001,56.93,17.32,36.049999,10.52,24.290001,31.219999,32.709999,29.59,28.6,68.68,85.699997,140.830002,8.58,32.860001000000004,72.440002,7.96,62.82,15.42,98.519997,83.059998
95,46.400002,44.0,3.61,22.42,38.75,93.0,96.480003,25.610001,69.889999,65.800003,26.83,33.650002,49.939999,56.049999,17.139999,36.34,10.4,23.5,29.57,31.27,29.42,28.1,67.480003,85.08000200000002,137.419998,8.47,32.700001,72.010002,8.36,63.09,15.09,94.160004,82.610001
96,47.810001,44.040001,3.87,22.35,39.400002,93.150002,98.480003,26.889999,70.68,64.790001,27.35,34.709999,51.5,57.400002,17.200001,36.669998,10.81,23.75,30.549999,31.940001,29.370001,28.76,67.940002,85.349998,142.46000700000005,8.86,31.91,73.0,7.91,63.380001,14.99,95.800003,82.690002
