,AIV,AMT,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCN,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SLG,SPG,UDR,VNO,VTR,WY
199,44.75,113.139999,174.600006,140.089996,30.049999,94.010002,98.739998,367.720001,64.650002,225.570007,80.489998,159.03999299999995,29.17,76.83000200000002,35.910748,18.059999,38.330002,29.9,93.690002,82.269997,65.389999,53.150002,223.649994,79.93,115.440002,215.490005,36.09,82.845596,73.190002,31.790001
200,45.099998,113.699997,175.199997,140.279999,30.0,94.699997,99.0,368.410004,64.900002,226.839996,80.550003,158.869995,29.120001,76.75,35.837887,17.879998999999994,38.48,30.059999,93.989998,81.959999,65.599998,53.139999,224.25,80.389999,117.730003,214.889999,36.209999,83.613579,72.809998,31.82
201,45.549999,114.330002,176.309998,141.570007,30.02,95.25,99.809998,367.429993,64.68,227.880005,81.349998,158.509995,29.16,76.709999,35.437157,17.639999,38.700001,30.040001,95.349998,82.010002,66.0,53.330002,226.100006,80.58000200000002,116.209999,216.919998,36.130001,83.597412,72.639999,32.099998
202,45.98,115.599998,177.080002,142.399994,30.0,97.0,100.449997,374.290009,64.68,225.949997,81.889999,159.440002,29.1,76.949997,35.68306,17.43,38.889999,30.18,95.769997,82.019997,66.5,54.259998,226.660004,81.199997,116.93,217.119995,36.34,83.896523,73.239998,32.540001000000004
203,46.669998,116.839996,178.339996,142.490005,29.700001,97.75,101.889999,378.049988,65.0,229.669998,81.889999,159.96000700000005,29.389999,77.889999,36.448086,17.02,39.59,30.58,95.980003,82.68,67.25,53.950001,224.309998,81.540001,117.080002,218.110001,36.540001,83.69442,74.07,32.209999
204,46.66,116.309998,178.820007,142.490005,29.74,98.599998,101.279999,377.190002,65.370003,229.520004,82.33000200000002,159.979996,29.309999,77.809998,36.502731,16.99,39.02,30.41,95.540001,83.190002,67.529999,54.310001,225.100006,81.379997,117.879997,217.979996,36.610001,84.276474,73.760002,31.629999
205,44.939999,115.300003,173.050003,140.470001,28.99,97.059998,99.389999,371.470001,63.759998,220.160004,80.980003,158.809998,28.84,76.519997,35.692169,16.68,37.880001,30.030001,94.059998,81.43,66.58000200000001,53.450001,221.75,79.529999,115.449997,215.309998,35.259998,82.65966,72.519997,31.4
206,43.599998,109.449997,169.550003,134.729996,27.690001,93.019997,95.75,363.029999,62.509998,219.320007,79.879997,154.660004,28.02,73.629997,34.517303000000005,16.09,36.32,28.92,92.230003,79.790001,64.129997,51.400002,216.75999500000003,77.33000200000002,110.610001,209.210007,34.380001,80.008087,68.839996,30.15
207,44.23,110.879997,170.860001,137.080002,28.15,94.120003,94.32,363.01001,63.27,223.220001,77.360001,157.089996,28.309999,74.25,34.517303000000005,16.040001,36.560001,29.299999,92.949997,80.470001,65.050003,52.099998,217.300003,78.120003,112.639999,211.050003,34.830002,81.350037,68.629997,30.67
208,43.490002,108.529999,169.320007,135.130005,28.059999,91.489998,93.43,356.179993,64.440002,219.479996,76.300003,154.429993,27.57,73.459999,33.806923,16.049999,36.09,28.73,92.419998,79.129997,63.849998,51.34,214.929993,76.589996,110.900002,207.550003,34.369999,79.48262,67.790001,29.950001
209,43.650002,108.519997,171.059998,134.649994,27.6,91.379997,92.050003,353.959991,63.560001,220.350006,77.120003,154.149994,27.66,73.290001,33.59745,16.110001,35.560001,28.610001,92.830002,79.440002,63.950001,51.32,214.710007,76.089996,110.349998,207.300003,34.619999,79.070328,67.449997,29.809999
210,43.689999,108.459999,172.770004,134.149994,27.98,91.129997,92.370003,359.820007,64.019997,221.160004,77.440002,154.240005,27.879999,73.379997,33.588341,16.040001,35.779999,28.469999,92.379997,79.589996,64.199997,50.939999,214.149994,76.089996,109.830002,207.350006,34.709999,79.19158900000002,67.639999,29.940001
211,43.880001,108.599998,173.809998,135.449997,28.49,90.510002,93.199997,360.450012,64.559998,222.630005,77.160004,155.419998,28.26,73.639999,33.979965,16.049999,36.029999,28.74,92.779999,80.160004,64.5,51.740002,214.929993,76.519997,110.360001,209.899994,34.779999,79.951492,68.18,30.110001
212,44.529999,110.089996,176.360001,135.96000700000002,29.040001,92.370003,94.339996,367.48999,65.449997,226.77999900000003,78.019997,156.0,28.5,73.959999,34.362476,16.16,36.689999,29.16,94.900002,81.620003,65.529999,52.77,215.979996,78.209999,111.239998,210.699997,35.52,80.80841099999998,69.029999,30.450001
213,44.700001,108.620003,175.990005,135.520004,28.709999,91.529999,94.040001,355.329987,65.309998,226.119995,77.230003,154.139999,28.25,73.279999,34.271404,16.059998999999998,36.68,28.98,94.660004,80.199997,65.639999,52.32,216.610001,76.970001,110.510002,208.559998,35.380001,81.01859300000002,69.309998,30.040001
214,45.98,111.220001,180.0,138.520004,29.040001,93.980003,95.989998,359.549988,63.09,232.179993,78.220001,156.630005,28.58,74.910004,34.972679,16.15,37.189999,29.559999,95.739998,81.980003,67.269997,53.610001,217.910004,78.760002,112.980003,212.020004,36.189999,82.651573,70.599998,31.190001
215,46.43,112.150002,181.210007,138.649994,29.18,94.199997,97.610001,359.720001,64.129997,230.5,79.379997,157.839996,28.43,76.040001,35.34608499999999,16.280001000000002,37.389999,29.780001,95.550003,81.93,67.599998,54.060001,219.850006,78.91999799999998,113.099998,213.059998,36.43,83.38723,71.410004,31.620001
