,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BK,BLK,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,GS,HBAN,HIG,HRB,ICE,IVZ,JPM,KEY,L,LNC,LUK,MCO,MET,MMC,MS,MTB,NAVI,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RF,SCHW,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,XL,ZION
172,73.610001,54.619999,87.739998,49.060001,69.160004,145.449997,96.449997,110.5,64.199997,14.31,36.799999,35.099998,39.209999,363.0,44.310001,128.429993,67.989998,21.74,74.650002,45.349998,101.389999,66.860001,56.630001,25.690001,18.379999,159.639999,9.26,44.709999,23.9,52.594002,28.309999,63.98,11.77,41.299999,43.360001,18.16,105.349998,38.422459,66.529999,28.82,114.120003,14.38,67.800003,66.839996,15.44,44.580002,33.07,82.610001,75.519997,9.01,28.18,117.260002,42.220001,58.040001,28.309999,62.200001,74.139999,117.0,32.34,42.099998,48.240002,123.57,32.950001,26.370001
173,73.389999,54.66,87.550003,49.509998,69.269997,144.580002,95.970001,110.550003,64.43,14.32,36.740002,34.68,39.18,360.75,43.93,128.28999299999998,68.5,21.99,74.900002,45.23,101.419998,67.300003,56.52,24.93,18.370001,160.679993,9.3,44.330002,23.860001,52.546001,28.42,63.98,11.66,41.169998,43.049999,18.120001,105.699997,38.395721,66.339996,29.02,113.169998,14.18,68.470001,66.949997,15.33,44.630001,32.939999,82.699997,75.440002,8.98,28.09,116.599998,42.299999,57.610001,28.129999,61.919998,72.0,117.709999,32.32,41.82,48.029999,124.290001,32.849998,26.360001
174,73.589996,54.610001,85.480003,49.439999,68.940002,145.279999,95.849998,110.879997,64.269997,14.57,37.0,34.599998,39.59,362.190002,44.200001,127.32,68.07,22.469999,74.879997,45.950001,101.830002,67.529999,56.529999,25.27,18.639999,161.199997,9.38,44.09,24.1,52.424,28.370001,64.08000200000001,11.57,41.240002,43.700001,18.139999,106.260002,38.591801,66.720001,29.030001,114.32,14.27,68.5,68.400002,15.29,44.790001,32.610001000000004,82.83000200000002,75.769997,9.18,28.700001,118.129997,42.610001,60.330002,27.98,61.630001,70.650002,117.139999,32.48,41.959999,47.950001,123.830002,32.93,27.6
175,73.120003,54.41,83.510002,49.360001,68.839996,145.479996,95.169998,109.959999,64.360001,14.57,36.869999,34.959999,39.790001,362.640015,44.0,126.769997,68.839996,22.549999,74.83000200000002,45.470001,101.5,67.489998,56.57,25.129999,18.65,160.179993,9.37,43.66,24.07,52.708,28.82,64.0,11.56,41.049999,43.34,18.139999,104.449997,38.351158,66.41999799999999,28.9,114.489998,14.11,70.82,68.099998,15.03,44.52,32.580002,82.400002,75.290001,9.06,28.6,118.0,42.220001,63.830002,28.049999,61.779999,70.41999799999998,116.580002,32.490002000000004,41.880001,47.939999,124.010002,35.0,27.879999
176,71.870003,54.43,83.010002,49.049999,68.910004,145.78999299999995,95.029999,107.919998,64.699997,14.56,36.959999,34.91,39.470001,362.869995,43.869999,126.0,69.0,22.370001,75.25,45.599998,102.230003,67.190002,56.68,24.959999,18.93,159.509995,9.41,40.810001,23.959999,52.970001,28.690001,63.799999,11.57,41.080002,43.369999,18.09,106.080002,38.137257,66.32,28.77,114.690002,14.0,70.650002,67.379997,15.14,44.98,32.599998,82.709999,75.07,9.1,28.5,121.370003,42.369999,65.290001,27.870001,61.799999,70.199997,117.339996,33.380001,41.919998,47.950001,123.419998,35.080002,27.969999
177,71.910004,54.459999,83.089996,49.189999,68.440002,144.25,96.050003,107.07,64.489998,14.52,36.959999,36.169998,39.549999,366.660004,43.919998,124.25,68.800003,22.25,74.639999,45.380001,102.580002,67.279999,56.82,25.129999,19.049999,158.809998,9.54,39.880001,23.75,52.939999,29.219999,64.150002,11.68,41.540001,43.84,18.27,106.139999,38.360073,65.779999,28.84,114.43,14.17,71.0,67.57,15.18,46.73,32.509998,83.089996,75.589996,9.21,28.549999,122.209999,42.419998,65.93,27.9,62.0,70.559998,116.260002,33.509998,42.150002,47.98,123.870003,34.73,27.9
178,71.639999,54.189999,83.199997,49.43,68.33000200000001,143.809998,94.75,108.330002,63.959999,14.28,36.509998,35.830002,39.209999,366.100006,43.23,125.059998,68.400002,22.16,75.139999,44.560001,103.169998,66.900002,56.029999,24.879999,18.690001,157.649994,9.36,39.900002,23.799999,52.854,28.959999,63.59,11.46,40.330002,43.240002,17.99,105.0,38.04813,65.720001,28.389999,112.239998,13.98,71.410004,66.82,14.93,46.169998,32.459999,82.370003,74.900002,9.01,28.309999,120.970001,41.82,65.639999,27.879999,61.189999,69.790001,116.709999,33.029999,41.509998,47.66,123.610001,33.970001,27.4
179,71.790001,56.91,83.589996,48.869999,68.279999,141.199997,93.209999,108.360001,63.5,14.11,36.48,35.09,38.869999,367.079987,42.93,125.139999,68.769997,22.07,75.050003,44.049999,103.050003,66.150002,55.5,24.5,18.610001,156.449997,9.28,40.279999,23.25,54.21200200000001,28.41,63.689999,11.45,40.25,42.91,17.469998999999998,104.260002,37.754009,66.18,27.969999,112.300003,13.54,71.32,66.349998,14.87,45.380001,32.650002,82.16999799999998,74.290001,8.91,27.870001,120.019997,41.52,65.370003,27.379999,61.07,69.559998,117.279999,32.93,41.549999,47.330002,123.510002,33.75,27.0
180,71.790001,58.09,84.099998,48.849998,67.989998,143.220001,94.099998,109.629997,63.880001,14.48,37.040001,35.73,39.139999,367.670013,43.740002,125.769997,68.93,22.450001,74.91999799999998,44.669998,103.5,66.220001,56.34,24.99,19.0,158.220001,9.34,40.540001,23.530001,55.703999,28.93,64.489998,11.67,40.509998,44.209999,17.9,104.709999,36.729053,66.190002,28.27,113.720001,13.8,71.510002,66.860001,15.09,45.709999,33.080002,84.059998,74.559998,9.06,28.32,120.050003,42.029999,65.769997,27.9,61.43,69.010002,118.099998,33.41,42.029999,47.599998,123.559998,34.02,27.4
181,72.41999799999998,58.25,84.239998,49.200001,68.720001,143.880005,95.209999,110.760002,64.540001,14.75,37.389999,35.82,39.540001,370.279999,44.630001,126.480003,68.989998,22.950001,75.300003,45.57,103.75,67.099998,57.029999,25.5,19.1,159.75,9.44,40.529999,23.889999,56.013999999999996,29.360001,65.139999,11.91,40.68,43.84,18.9,104.510002,35.837791,66.800003,28.6,115.260002,14.37,71.58000200000002,67.519997,15.18,46.43,33.75,84.720001,73.93,9.22,29.0,120.800003,42.450001,66.440002,28.290001,61.939999,69.739998,118.410004,33.360001000000004,42.630001,48.389999,121.730003,34.310001,28.049999
182,73.220001,59.43,84.860001,49.310001,68.839996,147.0,96.540001,110.5,65.83000200000001,15.08,38.099998,36.52,40.5,374.540009,45.830002,127.239998,68.839996,23.49,76.239998,46.389999,104.550003,68.230003,57.830002,25.969999,19.620001,162.100006,9.81,40.790001,23.9,55.476002,29.690001,66.07,12.3,41.27,45.790001,18.889999,104.760002,36.916222,66.58000200000001,29.02,117.580002,14.57,71.360001,69.300003,15.52,47.400002,34.119999,86.360001,76.360001,9.4,30.0,120.790001,43.0,68.0,28.33,62.049999,70.059998,118.419998,34.330002,42.990002,48.779999,119.57,33.959999,29.0
183,73.0,59.290001,84.870003,49.349998,69.16999799999999,145.229996,96.809998,110.230003,65.83000200000001,15.11,37.970001,36.330002,40.57,372.5,45.950001,126.949997,68.459999,23.379999,75.879997,46.099998,104.209999,68.129997,58.0,25.940001,19.370001,162.5,9.73,40.560001,23.74,55.458,29.68,66.18,12.19,41.18,46.189999,18.83,104.480003,37.040997,66.980003,29.15,117.57,14.39,70.66999799999998,69.099998,15.41,47.73,33.970001,86.410004,77.269997,9.4,30.07,120.440002,42.700001,68.18,28.049999,62.049999,69.779999,118.300003,34.360001000000004,42.939999,49.02,120.290001,33.900002,28.799999
