,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
323,54.029999,66.199997,11.38,77.040001,44.07,27.190001,75.879997,100.620003,81.599998,75.910004,78.91999799999998,57.98,75.849998,36.32,32.09,38.950001,129.559998,23.58,16.860001,65.989998,45.459999,81.370003,36.5,68.18,50.27,109.860001,59.560001,43.049999
324,54.529999,65.900002,11.3,77.540001,44.040001,27.559999,75.989998,100.809998,81.599998,75.970001,78.940002,58.0,75.370003,35.99000200000001,31.450001,38.900002,129.410004,23.809999,16.73,65.849998,45.09,82.199997,36.57,68.550003,49.779999,109.279999,59.73,43.349998
325,55.130001,66.57,11.64,77.879997,44.52,27.790001,77.190002,101.639999,82.139999,77.309998,79.860001,58.48,75.629997,36.41,31.68,39.259998,130.699997,24.110001,17.030001000000002,66.260002,45.84,83.470001,36.860001,70.730003,50.34,109.82,60.0,43.869999
326,54.849998,66.370003,11.55,77.230003,44.380001,27.9,76.300003,100.959999,81.959999,76.66999799999998,79.400002,58.259998,75.33000200000002,36.200001,31.92,39.119999,130.5,23.709999,17.280001000000002,65.870003,45.5,82.889999,36.66,70.41999799999998,50.599998,108.940002,59.169998,43.650002
327,54.860001,66.25,11.55,77.300003,44.310001,28.0,75.980003,101.57,81.589996,76.489998,79.300003,58.189999,74.870003,36.189999,31.219999,39.200001,130.369995,23.59,17.49,65.68,45.130001,82.519997,36.759998,70.25,50.099998,109.790001,59.09,43.52
328,54.279999,65.769997,11.25,76.32,44.110001,27.83,75.519997,100.639999,81.110001,76.059998,78.760002,57.93,74.160004,35.810001,30.92,38.98,129.520004,23.309999,17.059998999999998,65.58000200000001,44.27,81.620003,36.080002,68.5,50.040001,109.290001,58.799999,43.52
329,54.259998,65.120003,11.05,75.489998,43.689999,27.450001,75.209999,100.110001,80.519997,75.639999,78.150002,57.68,73.25,35.700001,31.049999,38.360001,129.660004,23.07,17.09,65.199997,43.98,80.779999,36.009998,68.0,49.900002,108.519997,58.380001,43.09
330,53.98,65.300003,11.1,75.809998,43.990002,27.5,75.25,100.400002,80.410004,75.519997,78.510002,57.790001,73.660004,35.950001,31.209999,38.490002,129.800003,23.16,17.959999,65.519997,44.029999,81.459999,36.220001,67.550003,49.77,108.910004,58.400002,43.259998
331,53.84,65.410004,11.17,76.0,44.18,27.690001,75.620003,100.25,80.800003,75.980003,78.75,57.68,73.559998,35.970001,31.23,38.610001,130.089996,23.309999,17.870001000000006,65.57,44.41,81.540001,36.27,67.470001,49.59,109.400002,58.619999,43.150002
332,54.169998,65.779999,11.02,76.0,44.220001,27.549999,75.93,100.730003,80.849998,76.239998,78.720001,58.0,74.050003,35.869999,31.040001,38.810001,130.330002,23.469999,17.35,65.68,44.34,81.620003,36.380001,67.599998,49.689999,109.260002,59.18,43.169998
