,ALB,APD,AVY,BLL,CF,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PPG,PX,SEE,SHW,VMC,WRK
162,83.91999799999998,134.569839,73.5,36.0,25.02,119.489998,68.779999,11.4,46.700001,130.0,42.720001,77.150002,197.5,102.900002,25.700001,40.650002,53.5,106.629997,114.910004,47.25,304.920013,125.720001,38.610001
163,84.379997,134.625351,73.160004,36.200001,25.0,119.75,69.889999,12.05,47.0,130.320007,43.32,76.620003,197.600006,102.529999,25.74,40.669998,55.25,107.550003,115.239998,47.669998,308.209991,125.040001,39.439999
164,85.519997,136.87326000000002,73.32,35.91,26.07,120.599998,70.709999,12.8,48.290001,131.46000700000002,44.189999,77.519997,198.979996,102.099998,26.15,40.639999,56.610001,109.099998,117.459999,47.810001,305.940002,126.269997,40.02
165,85.970001,137.308044,73.730003,35.810001,27.459999,120.940002,71.550003,13.03,48.919998,133.070007,44.5,78.0,197.710007,101.18,27.620001,40.16,56.630001,109.809998,118.099998,48.650002,308.549988,126.43,40.0
166,86.41999799999998,138.205368,73.68,35.75,27.99,121.730003,71.959999,13.03,48.740002,132.160004,44.41,77.970001,197.839996,104.769997,28.299999,41.240002,56.720001,109.019997,118.830002,49.259998,305.959991,125.139999,42.16
167,86.230003,138.168365,73.349998,34.945,27.34,120.68,71.190002,12.91,48.66,131.869995,45.470001,77.550003,197.990005,103.660004,28.620001,41.419998,56.450001,109.0,118.709999,49.080002,304.730011,124.879997,42.32
168,85.949997,137.474564,73.459999,34.869999,27.200001,120.120003,71.489998,12.92,48.810001,131.660004,45.439999,78.199997,199.369995,105.889999,28.799999,41.419998,56.130001,108.639999,118.419998,48.98,308.019989,124.370003,43.099998
169,86.040001,138.048111,73.029999,34.814999,26.59,120.190002,71.470001,12.11,48.450001,132.979996,45.009998,78.559998,198.139999,106.940002,28.58,40.68,54.48,108.790001,118.07,49.029999,310.0,124.75,43.16
170,86.260002,138.297867,73.480003,35.36000100000001,26.74,119.580002,71.900002,12.5,48.560001,133.529999,45.07,79.139999,198.520004,106.970001,29.02,40.290001,54.18,109.0,118.150002,49.400002,298.399994,125.169998,43.740002
171,84.629997,137.36355600000002,72.300003,35.424999,26.190001,119.739998,71.940002,12.78,47.860001,133.059998,44.939999,79.089996,195.940002,106.540001,28.74,40.360001,52.189999,108.589996,117.650002,48.799999,291.540009,125.709999,43.299999
172,85.0,137.31729099999998,72.620003,35.330002,25.16,120.0,71.709999,12.62,48.119999,134.130005,45.040001,77.989998,198.229996,105.800003,28.24,41.049999,52.619999,107.230003,117.57,48.700001,294.480011,126.010002,42.82
173,86.199997,137.835342,74.5,35.459999,25.299999,119.690002,71.93,11.6,48.07,135.550003,45.189999,78.769997,198.690002,105.5,28.629999,40.389999,52.400002,107.07,117.800003,48.639999,295.540009,124.559998,42.639999
174,85.370003,138.714157,76.66999799999998,35.79000100000001,25.860001,119.790001,70.059998,12.89,48.77,134.369995,45.68,78.970001,202.100006,106.199997,29.43,41.369999,54.110001,106.870003,118.470001,49.369999,293.540009,124.400002,43.860001
175,84.660004,140.13876299999998,78.540001,35.525002,25.120001,119.099998,69.839996,13.13,48.040001,132.929993,45.5,77.900002,201.25,106.230003,28.32,42.450001,53.5,105.720001,115.330002,48.73,292.299988,125.459999,42.919998
176,84.790001,137.659576,77.839996,35.285,24.549999,118.809998,66.0,12.76,47.790001,133.21000700000002,45.57,76.25,205.360001,106.089996,27.530001,43.040001,53.700001,104.989998,116.489998,47.169998,298.049988,126.779999,42.459999
177,84.220001,136.679001,77.620003,35.470001,24.459999,117.709999,65.199997,13.01,47.490002,133.350006,45.759998,75.260002,199.429993,106.769997,27.02,43.779999,53.639999,104.099998,116.940002,47.349998,296.0,121.110001,42.880001
178,84.260002,137.853836,78.209999,35.23500100000001,24.35,119.379997,64.889999,12.64,47.25,133.199997,45.389999,74.529999,193.699997,105.940002,26.42,44.880001,53.18,104.879997,115.839996,46.990002,298.040009,116.010002,41.580002
179,84.510002,137.604065,77.730003,35.040001000000004,24.49,122.75,64.150002,12.2,46.490002,133.169998,45.380001,72.059998,197.979996,105.540001,27.110001,45.68,52.84,104.129997,116.290001,45.939999,302.679993,116.800003,40.68
180,84.16999799999998,137.06753500000002,77.43,37.285,22.719999,121.690002,64.949997,12.23,48.150002,134.270004,45.849998,73.459999,199.800003,104.360001,27.110001,45.09,53.41,104.300003,116.449997,46.419998,302.220001,117.610001,42.43
181,82.220001,138.28862,77.839996,39.255001,21.280001,122.5,65.129997,12.32,48.790001,136.03999299999998,46.110001,74.639999,198.940002,106.480003,26.65,43.790001,53.34,104.610001,117.230003,46.880001,300.869995,118.080002,44.119999
182,82.33000200000002,138.48288,78.33000200000002,39.564999,22.24,123.0,65.550003,12.49,48.380001,133.660004,45.93,74.769997,198.5,107.5,27.469999,44.130001,53.709999,104.449997,117.07,46.779999,300.829987,119.120003,44.080002
183,82.489998,137.687332,78.839996,40.305,23.15,122.260002,65.66999799999999,12.28,48.599998,136.369995,46.200001,75.639999,200.350006,107.050003,28.389999,44.77,53.220001,104.349998,116.629997,46.439999,297.970001,120.379997,44.139999
